Name,smiles,standard_value,standard_type,Source,classes,pIC50
CHEMBL3084938,CN(C)C(=O)Nc1ccc(S(=O)(=O)N[C@H]2CC[C@H]([C@H](N)C(=O)N3CCCC3)CC2)cc1,26.0,IC50,ChEMBL,1,7.585026652029182
CHEMBL25437,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(F)cc2F)CC1,88.0,IC50,ChEMBL,1,7.055517327849832
CHEMBL278558,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NC(=O)c2ccc(F)c(F)c2)CC1,190.0,IC50,ChEMBL,1,6.721246399047171
CHEMBL23176,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)OCc2ccccc2)CC1,25.0,IC50,ChEMBL,1,7.6020599913279625
CHEMBL3084940,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NC(=O)c2cncc3ccccc23)CC1,64.0,IC50,ChEMBL,1,7.1938200260161125
CHEMBL3084946,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2ccc(Cl)c(Cl)c2)CC1,38.0,IC50,ChEMBL,1,7.42021640338319
CHEMBL142703,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,34.0,IC50,ChEMBL,1,7.468521082957745
CHEMBL3084947,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2ccc(I)cc2)CC1,33.0,IC50,ChEMBL,1,7.481486060122112
CHEMBL77538,N#Cc1ccc(NCCNCC(=O)N2CCC[C@H]2C#N)nc1,22.0,IC50,ChEMBL,1,7.657577319177793
CHEMBL3084952,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)OCc2cccc3ccccc23)CC1,17.0,IC50,ChEMBL,1,7.769551078621726
CHEMBL3084956,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2cnc3ccccc3c2)CC1,9.0,IC50,ChEMBL,1,8.045757490560675
CHEMBL23979,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)CC1,89.0,IC50,ChEMBL,1,7.050609993355087
CHEMBL3084948,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2ccc3ccccc3c2)CC1,21.0,IC50,ChEMBL,1,7.6777807052660805
CHEMBL3084955,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)Nc2ccc(OC(F)(F)F)cc2)CC1,55.0,IC50,ChEMBL,1,7.259637310505756
CHEMBL3084941,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(F)c(F)c2F)CC1,98.0,IC50,ChEMBL,1,7.008773924307505
CHEMBL497992,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(NS(=O)(=O)CC(F)(F)F)cc2)CC1,2.6,IC50,ChEMBL,1,8.585026652029182
CHEMBL3084953,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)Nc2ccc(I)cc2)CC1,10.0,IC50,ChEMBL,1,8.0
CHEMBL3084944,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NC(=O)c2cccc3ccccc23)CC1,46.0,IC50,ChEMBL,1,7.337242168318426
CHEMBL25211,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)CC1,22.0,IC50,ChEMBL,1,7.657577319177793
CHEMBL3084951,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)OCc2ccc3ccccc3c2)CC1,20.0,IC50,ChEMBL,1,7.698970004336019
CHEMBL3084945,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](N)CC1,2700.0,IC50,ChEMBL,2,5.568636235841013
CHEMBL3084950,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)OCc2ccc(Cl)c(Cl)c2)CC1,29.0,IC50,ChEMBL,1,7.5376020021010435
CHEMBL544475,CCOC(=O)c1cnc(CN)c2cc(OC)c(OC)cc12.Cl,3400.0,IC50,ChEMBL,2,5.468521082957745
CHEMBL543539,CCOC(=O)c1cnc(CN(C)C)c2cc(OC)c(OC)cc12.Cl,948000.0,IC50,ChEMBL,0,3.0231916626619335
CHEMBL543057,COc1cc2c(C=O)cnc(CN)c2cc1OC.Cl,277000.0,IC50,ChEMBL,0,3.5575202309355514
CHEMBL554880,COc1cc2c(CO)cnc(CN)c2cc1OC.Cl,31800.0,IC50,ChEMBL,0,4.497572880015567
CHEMBL539758,CCCNC(=O)c1cnc(CN)c2cc(OC)c(OC)cc12.Cl,51400.0,IC50,ChEMBL,0,4.289036881004725
CHEMBL553407,CCOC(=O)Nc1cnc(CN)c2cc(OC)c(OC)cc12.Cl,2300.0,IC50,ChEMBL,2,5.638272163982407
CHEMBL544474,CCOC(=O)c1cnc(CN)c2ccc(OC)cc12.Cl,207000.0,IC50,ChEMBL,0,3.684029654543082
CHEMBL544717,CCOC(=O)c1cnc(CN)c2cc(OC)c(OCC)cc12.Cl,4700.0,IC50,ChEMBL,2,5.327902142064283
CHEMBL307636,N#C[C@@H]1CCCN1C(=O)[C@@H](N)C1CCCCC1,2.0,IC50,ChEMBL,1,8.698970004336019
CHEMBL543062,CCCOc1cc2c(CN)ncc(C(=O)OCC)c2cc1OC.Cl,8400.0,IC50,ChEMBL,2,5.075720713938118
CHEMBL554957,COc1cc2c(C(=O)O)cnc(CN)c2cc1OC.Cl,103000.0,IC50,ChEMBL,0,3.9871627752948275
CHEMBL289580,CCOC(=O)c1cnc(CCN)c2cc(OC)c(OC)cc12.O=C(O)C(F)(F)F,746000.0,IC50,ChEMBL,0,3.1272611725273314
CHEMBL544950,CCOC(=O)c1cnc(CN)c2c(OC)ccc(OC)c12.Cl,2400.0,IC50,ChEMBL,2,5.619788758288394
CHEMBL288207,CCOC(=O)CCc1cnc(CN)c2cc(OC)c(OC)cc12.O=C(O)C(F)(F)F,52600.0,IC50,ChEMBL,0,4.279014255846261
CHEMBL554683,CCOC(=O)c1cnc(CN)c2cc(OCC)c(OC)cc12.Cl,6700.0,IC50,ChEMBL,2,5.173925197299173
CHEMBL554882,COc1cc2c(C(N)=O)cnc(CN)c2cc1OC.Cl,170000.0,IC50,ChEMBL,0,3.769551078621726
CHEMBL41114,CCOC(=O)/C=C/c1cnc(CN)c2cc(OC)c(OC)cc12.O=C(O)C(F)(F)F,18000.0,IC50,ChEMBL,0,4.7447274948966935
CHEMBL554682,CCOC(=O)c1cnc(CNC)c2cc(OC)c(OC)cc12.Cl,731000.0,IC50,ChEMBL,0,3.1360826230421397
CHEMBL544478,CCOC(=O)c1cnc(CN)c2cc(O)c(OC)cc12.Cl,14000.0,IC50,ChEMBL,0,4.853871964321762
CHEMBL544241,CCOC(=O)Cc1cnc(CN)c2cc(OC)c(OC)cc12.Cl,17000.0,IC50,ChEMBL,0,4.769551078621726
CHEMBL539500,CCOC(=O)c1cnc(CN)c2cc(OC)c(OC)c(OC)c12.Cl,18000.0,IC50,ChEMBL,0,4.7447274948966935
CHEMBL555560,CCOC(=O)c1cnc(CN)c2c(OC)cc(OC)cc12.Cl,320.0,IC50,ChEMBL,1,6.494850021680094
CHEMBL77539,N#C[C@@H]1CCCN1C(=O)CNCCNc1ccc([N+](=O)[O-])cn1,8.0,IC50,ChEMBL,1,8.096910013008056
CHEMBL539243,CCOC(=O)c1cnc(CN)c2c(OC)c(OC)c(OC)cc12.Cl,1100.0,IC50,ChEMBL,2,5.958607314841775
CHEMBL283880,Cc1cccc(C)c1N1C(=O)c2ccc(N)cc2C1=O,23.4,IC50,ChEMBL,1,7.6307841425898575
CHEMBL151999,CC(C)c1cccc(C(C)C)c1N1C(=O)c2c(F)c(F)c(F)c(F)c2C1=S,12.0,IC50,ChEMBL,1,7.920818753952375
CHEMBL313952,CC(C)c1cccc(C(C)C)c1N1C(=O)c2ccc(O)cc2C1=O,21.3,IC50,ChEMBL,1,7.671620396561262
CHEMBL153236,CSc1ccccc1N1C(=O)c2cccc([N+](=O)[O-])c2C1=O,100.0,IC50,ChEMBL,1,7.0
CHEMBL315471,Cc1cccc(C)c1N1C(=O)c2cccc(N)c2C1=O,16.0,IC50,ChEMBL,1,7.795880017344075
CHEMBL88474,CC(C)c1cccc(C(C)C)c1N1C(=O)c2cccc(O)c2C1=O,14.1,IC50,ChEMBL,1,7.85078088734462
CHEMBL152529,Cc1cccc(C)c1N1C(=O)c2cccc([N+](=O)[O-])c2C1=O,100.0,IC50,ChEMBL,1,7.0
CHEMBL90558,CC(C)c1cccc(C(C)C)c1N1C(=O)c2ccc(N)cc2C1=O,81.0,IC50,ChEMBL,1,7.0915149811213505
CHEMBL8916,Cc1cccc(C)c1N1C(=O)c2ccccc2C1=O,100.0,IC50,ChEMBL,1,7.0
CHEMBL277841,Cc1cccc(C)c1N1C(=O)c2cccc(O)c2C1=O,100.0,IC50,ChEMBL,1,7.0
CHEMBL90616,CC(C)c1cccc(C(C)C)c1N1C(=O)c2cccc([N+](=O)[O-])c2C1=O,100.0,IC50,ChEMBL,1,7.0
CHEMBL345319,CSc1ccccc1N1C(=O)c2cccc(O)c2C1=O,64.4,IC50,ChEMBL,1,7.1911141326401875
CHEMBL29292,CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1)C(=O)O,100.0,IC50,ChEMBL,1,7.0
CHEMBL113918,Cc1cccc(C)c1N1C(=O)c2ccc([N+](=O)[O-])cc2C1=O,100.0,IC50,ChEMBL,1,7.0
CHEMBL88953,CCc1cccc(CC)c1N1C(=O)c2ccc(O)cc2C1=O,12.8,IC50,ChEMBL,1,7.892790030352131
CHEMBL89081,CC(C)c1cccc(C(C)C)c1N1C(=O)c2ccccc2C1=O,100.0,IC50,ChEMBL,1,7.0
CHEMBL329471,CC(C)c1cccc(C(C)C)c1N1C(=O)c2ccccc2C1=S,18.7,IC50,ChEMBL,1,7.7281583934635005
CHEMBL151461,O=C(C1CCC[C@H]1B(O)O)[C@@H]1CCCN1,18.7,IC50,ChEMBL,1,7.7281583934635005
CHEMBL91130,CC(C)c1cccc(C(C)C)c1N1C(=O)c2ccc([N+](=O)[O-])cc2C1=O,100.0,IC50,ChEMBL,1,7.0
CHEMBL153096,CCc1cccc(CC)c1N1C(=O)c2cccc(O)c2C1=O,12.8,IC50,ChEMBL,1,7.892790030352131
CHEMBL424612,Cc1cccc(C)c1N1C(=O)c2ccc(O)cc2C1=O,19.8,IC50,ChEMBL,1,7.703334809738469
CHEMBL153037,CC(C)c1cccc(C(C)C)c1N1C(=S)c2c(F)c(F)c(F)c(F)c2C1=S,15.1,IC50,ChEMBL,1,7.82102305270683
CHEMBL169758,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@@H](OC(=O)Nc2ccc(I)cc2)C1,660.0,IC50,ChEMBL,1,6.180456064458132
CHEMBL168986,CS(=O)(=O)c1ccc(S(=O)(=O)N[C@H]2CC[C@H]([C@H](N)C(=O)N3CCCC3)C2)cc1,130.0,IC50,ChEMBL,1,6.886056647693163
CHEMBL366751,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@@H](NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)C1,550.0,IC50,ChEMBL,1,6.259637310505756
CHEMBL172276,N[C@H](C(=O)N1CCCC1)[C@@H]1CC[C@H](OC(=O)Nc2ccc(I)cc2)C1,670.0,IC50,ChEMBL,1,6.173925197299173
CHEMBL171033,COc1ccc(NC(=O)O[C@@H]2CCC[C@H]([C@H](N)C(=O)N3CCSC3)C2)cc1,83.0,IC50,ChEMBL,1,7.080921907623926
CHEMBL439836,CS(=O)(=O)NCCS(=O)(=O)N[C@@H]1CC[C@@H]([C@H](N)C(=O)N2CCCC2)C1,71.0,IC50,ChEMBL,1,7.1487416512809245
CHEMBL352343,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@@H](OC(=O)Nc2ccc(Cl)c(Cl)c2)C1,280.0,IC50,ChEMBL,1,6.552841968657781
CHEMBL169962,N[C@H](C(=O)N1CCCC1)[C@@H]1CC[C@@H](NS(=O)(=O)c2ccc(C(=O)O)cc2)C1,110.0,IC50,ChEMBL,1,6.958607314841775
CHEMBL352737,COc1ccc(NC(=O)O[C@H]2CCC[C@H]([C@H](N)C(=O)N3CCCC3)C2)cc1,480.0,IC50,ChEMBL,1,6.318758762624412
CHEMBL368156,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](O)C1,840.0,IC50,ChEMBL,1,6.075720713938118
CHEMBL171437,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(C(=O)O)cc2)C1,72.0,IC50,ChEMBL,1,7.142667503568731
CHEMBL433732,CS(=O)(=O)c1ccc(S(=O)(=O)N[C@H]2CC[C@@H]([C@H](N)C(=O)N3CCCC3)C2)cc1,420.0,IC50,ChEMBL,1,6.376750709602099
CHEMBL354576,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@@H](NC(=O)Nc2cccc3ccccc23)C1,110.0,IC50,ChEMBL,1,6.958607314841775
CHEMBL168866,N[C@H](C(=O)N1CCCC1)[C@@H]1CC[C@@H](NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)C1,170.0,IC50,ChEMBL,1,6.769551078621726
CHEMBL172631,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@@H](OC(=O)Nc2cccc(F)c2)C1,210.0,IC50,ChEMBL,1,6.6777807052660805
CHEMBL171430,N[C@@H](C(=O)N1CCSC1)[C@H]1CC[C@@H](OC(=O)Nc2cccc3ccccc23)C1,1700.0,IC50,ChEMBL,2,5.769551078621726
CHEMBL169204,CS(=O)(=O)c1ccc(S(=O)(=O)N[C@@H]2CC[C@@H]([C@H](N)C(=O)N3CCCC3)C2)cc1,13.0,IC50,ChEMBL,1,7.886056647693163
CHEMBL355203,COc1ccc(NC(=O)O[C@@H]2CCC[C@H]([C@H](N)C(=O)N3CCCC3)C2)cc1,180.0,IC50,ChEMBL,1,6.7447274948966935
CHEMBL171342,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(S(N)(=O)=O)cc2)C1,83.0,IC50,ChEMBL,1,7.080921907623926
CHEMBL354936,CN(C)S(=O)(=O)c1ccc(S(=O)(=O)N[C@H]2CC[C@H]([C@H](N)C(=O)N3CCCC3)C2)cc1,110.0,IC50,ChEMBL,1,6.958607314841775
CHEMBL169812,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@@H](NC(=O)c2cccc3ccccc23)C1,230.0,IC50,ChEMBL,1,6.638272163982407
CHEMBL172624,N[C@@H](C(=O)N1CCSC1)[C@H]1CC[C@@H](OC(=O)Nc2cccc(F)c2)C1,1200.0,IC50,ChEMBL,2,5.920818753952375
CHEMBL355716,COc1ccc(NC(=O)O[C@H]2CC[C@H]([C@H](N)C(=O)N3CCCC3)C2)cc1,270.0,IC50,ChEMBL,1,6.568636235841013
CHEMBL353840,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2cccc3ccccc23)C1,47.0,IC50,ChEMBL,1,7.327902142064283
CHEMBL169179,N[C@H](C(=O)N1CCCC1)[C@@H]1CC[C@@H](NS(=O)(=O)c2ccc(S(N)(=O)=O)cc2)C1,46.0,IC50,ChEMBL,1,7.337242168318426
CHEMBL172730,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@@H](OC(=O)Nc2ccccc2-c2ccccc2)C1,3900.0,IC50,ChEMBL,2,5.4089353929735005
